***********************************************
   331 :102.068642+-0.000000i   -16.064333+0.000000i
   332 :86.369080+0.000000i   -32.335098+0.000000i
   333 :61.871506+0.000000i   -45.484142+-0.000000i
   334 :31.748301+-0.000000i   -53.793591+0.000000i
   335 :0.146458+0.000000i   -56.334053+-0.000000i
   336 :-28.545551+-0.000000i   -53.086479+0.000000i
   337 :-50.485054+0.000000i   -44.886166+-0.000000i
   338 :-63.085941+-0.000000i   -33.211418+-0.000000i
   339 :-65.485992+0.000000i   -19.872234+0.000000i
   340 :-58.691555+-0.000000i   -6.665206+-0.000000i
   341 :-45.352535+0.000000i   4.923644+-0.000000i
   342 :-29.217422+0.000000i   13.911888+-0.000000i
   343 :-14.363781+0.000000i   19.881853+0.000000i
   344 :-4.367087+-0.000000i   22.905518+-0.000000i
   345 :-1.562353+-0.000000i   23.376030+-0.000000i
   346 :-6.559317+-0.000000i   21.796587+-0.000000i
   347 :-18.104176+0.000000i   18.592577+-0.000000i
   348 :-33.324913+0.000000i   13.997713+-0.000000i
   349 :-48.310402+0.000000i   8.044213+-0.000000i
   350 :-58.918888+-0.000000i   0.652361+-0.000000i
   351 :-61.645020+0.000000i   -8.208296+-0.000000i
   352 :-54.382141+-0.000000i   -18.344753+0.000000i
   353 :-36.917717+-0.000000i   -29.205830+0.000000i
   354 :-11.059984+-0.000000i   -39.844906+-0.000000i
   355 :19.634558+0.000000i   -48.999458+0.000000i
   356 :50.481552+-0.000000i   -55.285282+-0.000000i
   357 :76.533386+0.000000i   -57.470539+-0.000000i
   358 :93.499504+0.000000i   -54.763264+-0.000000i
   359 :98.567276+-0.000000i   -47.046608+0.000000i
   360 :90.941887+0.000000i   -34.997841+-0.000000i
   361 :72.012085+0.000000i   -20.049269+-0.000000i
   362 :45.103172+0.000000i   -4.193318+-0.000000i
   363 :14.859183+-0.000000i   10.346125+-0.000000i
   364 :-13.618874+0.000000i   21.503351+-0.000000i
   365 :-35.714638+0.000000i   27.746607+-0.000000i
   366 :-48.146393+0.000000i   28.363098+-0.000000i
   367 :-49.544735+-0.000000i   23.586733+0.000000i
   368 :-40.666012+0.000000i   14.545993+-0.000000i
   369 :-24.193789+0.000000i   3.042432+0.000000i
   370 :-4.173916+0.000000i   -8.795682+-0.000000i
   371 :14.800703+0.000000i   -18.906559+-0.000000i
   372 :28.493765+0.000000i   -25.655081+-0.000000i
   373 :33.847908+-0.000000i   -28.090899+0.000000i
   374 :29.555784+-0.000000i   -26.051775+-0.000000i
   375 :16.282755+-0.000000i   -20.106405+-0.000000i
   376 :-3.499739+-0.000000i   -11.359971+-0.000000i
   377 :-26.032621+-0.000000i   -1.175677+-0.000000i
   378 :-47.025242+-0.000000i   9.115624+-0.000000i
   379 :-62.496914+-0.000000i   18.450762+0.000000i
   380 :-69.543869+0.000000i   26.169565+-0.000000i
   381 :-66.869736+0.000000i   32.023014+-0.000000i
   382 :-54.992031+-0.000000i   36.075619+0.000000i
   383 :-36.086864+0.000000i   38.536072+0.000000i
   384 :-13.510965+-0.000000i   39.579296+-0.000000i
   385 :8.889950+-0.000000i   39.213749+-0.000000i
   386 :27.542597+-0.000000i   37.239029+-0.000000i
   387 :39.830395+-0.000000i   33.308468+-0.000000i
   388 :44.550621+0.000000i   27.082527+-0.000000i
   389 :42.073132+0.000000i   18.427744+0.000000i
   390 :34.167664+-0.000000i   7.605763+-0.000000i
   391 :23.550234+0.000000i   -4.614216+-0.000000i
   392 :13.252296+0.000000i   -16.956831+-0.000000i
   393 :5.944767+0.000000i   -27.782509+0.000000i
   394 :3.366591+0.000000i   -35.344448+0.000000i
   395 :5.971678+0.000000i   -38.116695+0.000000i
   396 :12.865588+-0.000000i   -35.124123+0.000000i
   397 :22.039215+-0.000000i   -26.195679+-0.000000i
   398 :30.845816+-0.000000i   -12.079530+0.000000i
   399 :36.609985+0.000000i   5.611812+0.000000i
   400 :37.241695+0.000000i   24.631685+0.000000i
   401 :31.715622+0.000000i   42.456711+-0.000000i
   402 :20.318420+0.000000i   56.705162+0.000000i
   403 :4.606387+0.000000i   65.538506+-0.000000i
   404 :-12.910174+0.000000i   67.954704+0.000000i
   405 :-29.296461+0.000000i   63.927311+-0.000000i
   406 :-41.809559+0.000000i   54.359390+-0.000000i
   407 :-48.481853+0.000000i   40.870838+-0.000000i
   408 :-48.532948+0.000000i   25.469803+-0.000000i
   409 :-42.528301+-0.000000i   10.183074+0.000000i
   410 :-32.245129+-0.000000i   -3.283041+-0.000000i
   411 :-20.275436+-0.000000i   -13.773813+-0.000000i
   412 :-9.446000+-0.000000i   -20.783230+0.000000i
